No.,n,p,nlam,hdmodel,design,const
1,1000,1000,3,3,1,F
2,1000,1000,3,3,1,T
3,1000,1000,3,4,1,F
4,1000,1000,3,4,1,T
5,1000,1000,3,2,1,F
6,1000,1000,3,2,1,T
